benchmark,dataset_size,clock_period,mem_policy,dsp_coeff,opt_level,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers
atax,SMALL,15,ALL_BRAM,1.75,O3,85,0.0494726426666236,66.887272676003,83,344,0,1671,6653,447,7100,60
atax,SMALL,15,LSS,1.0,O0,34,0.0494726426666805,66.88727267600325,40,146,0,775,5768,239,6007,25
atax,SMALL,15,LSS,1.0,O2,76,0.0494726426666236,66.887272676003,94,280,0,1637,6475,468,6943,56
atax,SMALL,15,LSS,1.0,O3,88,0.0494726426666236,66.887272676003,111,344,0,2121,6921,587,7508,76
atax,SMALL,15,LSS,1.75,O0,34,0.0494726426666805,66.88727267600325,40,146,0,775,5768,239,6007,25
atax,SMALL,15,LSS,1.75,O2,76,0.0494726426666236,66.887272676003,94,280,0,1637,6475,468,6943,56
atax,SMALL,15,LSS,1.75,O3,88,0.0494726426666236,66.887272676003,111,344,0,2121,6921,587,7508,76
bicg,MEDIUM,10,ALL_BRAM,1.0,O0,36,0.0363999969999984,100.3653297702541,34,143,0,725,5510,238,5748,21
bicg,MEDIUM,10,ALL_BRAM,1.0,O2,41,0.0363999969999984,100.3653297702541,39,211,1,951,5877,239,6116,32
bicg,MEDIUM,10,ALL_BRAM,1.0,O3,51,0.0363999969999984,100.3653297702541,49,271,7,1274,6327,409,6736,46
bicg,MEDIUM,10,ALL_BRAM,1.75,O0,40,0.0170666606666802,100.17095837552512,38,143,0,725,5510,238,5748,21
bicg,MEDIUM,10,ALL_BRAM,1.75,O2,45,0.0170666606666802,100.17095837552512,43,211,1,951,5877,239,6116,32
bicg,MEDIUM,10,ALL_BRAM,1.75,O3,55,0.0170666606666802,100.17095837552512,53,271,7,1274,6327,409,6736,46
bicg,MEDIUM,10,LSS,1.0,O0,39,0.0363999969999984,100.3653297702541,45,143,0,758,5778,240,6018,23
bicg,MEDIUM,10,LSS,1.0,O2,45,0.0363999969999984,100.3653297702541,55,211,0,1080,6145,306,6451,37
bicg,MEDIUM,10,LSS,1.0,O3,55,0.0363999969999984,100.3653297702541,70,271,2,1596,6595,376,6971,57
bicg,MEDIUM,10,LSS,1.75,O0,43,0.0170666606666802,100.17095837552512,49,143,0,758,5778,240,6018,23
bicg,MEDIUM,10,LSS,1.75,O2,49,0.0170666606666802,100.17095837552512,59,211,0,1080,6145,306,6451,37
bicg,MEDIUM,10,LSS,1.75,O3,59,0.0170666606666802,100.17095837552512,74,271,2,1596,6595,376,6971,57
bicg,MEDIUM,15,ALL_BRAM,1.0,O0,30,0.0494726426666805,66.88727267600325,28,143,0,725,5510,238,5748,21
bicg,MEDIUM,15,ALL_BRAM,1.0,O2,35,0.0494726426666805,66.88727267600325,33,211,0,951,5877,239,6116,32
bicg,MEDIUM,15,ALL_BRAM,1.0,O3,44,0.0494726426666805,66.88727267600325,42,271,0,1338,6327,340,6667,47
bicg,MEDIUM,15,ALL_BRAM,1.75,O0,30,0.0494726426666805,66.88727267600325,28,143,0,725,5510,238,5748,21
bicg,MEDIUM,15,ALL_BRAM,1.75,O2,35,0.0494726426666805,66.88727267600325,33,211,0,951,5877,239,6116,32
bicg,MEDIUM,15,ALL_BRAM,1.75,O3,44,0.0494726426666805,66.88727267600325,42,271,0,1338,6327,340,6667,47
bicg,MEDIUM,15,LSS,1.0,O0,33,0.0494726426666805,66.88727267600325,39,143,0,758,5778,240,6018,23
bicg,MEDIUM,15,LSS,1.0,O2,39,0.0494726426666805,66.88727267600325,49,211,0,1080,6145,306,6451,37
bicg,MEDIUM,15,LSS,1.0,O3,49,0.0494726426666805,66.88727267600325,64,271,0,1596,6595,376,6971,57
bicg,MEDIUM,15,LSS,1.75,O0,33,0.0494726426666805,66.88727267600325,39,143,0,758,5778,240,6018,23
