evaluation,target,reduction,model,rows,features_before,test_rows,mae,rmse,r2,folds,mae_std,rmse_std,r2_std
kfold,openroad_total_power,all_features,ridge,18,66,,0.057209125974510146,0.06803830062505527,-166.92920518263446,5.0,0.04424674250972795,0.055624238772648,230.8254706621156
random_split,openroad_total_power,all_features,random_forest,18,66,5.0,0.054210676896825384,0.05665567642876498,-2.5066473167096786,,,,
kfold,openroad_total_power,all_features,random_forest,18,66,,0.043923038689153426,0.05634773863514353,-230.0242704989741,5.0,0.03190338499631495,0.05472420237257461,452.0687741636601
random_split,openroad_total_power,all_features,gradient_boosting,18,66,5.0,0.12638713603721394,0.14980074910292362,-23.515073559688965,,,,
kfold,openroad_total_power,all_features,gradient_boosting,18,66,,0.05079456845064617,0.06654799588185759,-66.9153379061634,5.0,0.056623257725083025,0.06743091632934795,73.89373750082748
random_split,openroad_total_power,all_features,gaussian_process,18,66,5.0,0.028691505198889227,0.030487836232955184,-0.015449748422697418,,,,
kfold,openroad_total_power,all_features,gaussian_process,18,66,,0.0436765292088364,0.0565908486948357,-221.2907343935035,5.0,0.031616940532128976,0.058883936844504964,315.5457664864343
random_split,openroad_total_power,select_k_5,ridge,18,66,5.0,0.0301261845477493,0.046102372714198675,-1.321944235453357,,,,
kfold,openroad_total_power,select_k_5,ridge,18,66,,0.027716979563135263,0.041998676500134176,-19.1196002627319,5.0,0.03095634891596851,0.053698701501158685,30.2156917070146
random_split,openroad_total_power,select_k_5,random_forest,18,66,5.0,0.02896686230769231,0.030413589977384137,-0.01050997249253327,,,,
kfold,openroad_total_power,select_k_5,random_forest,18,66,,0.04440989449107143,0.058760203836356203,-302.0111810068396,5.0,0.03173494000349346,0.05801050581976152,528.2636074293454
random_split,openroad_total_power,select_k_5,gradient_boosting,18,66,5.0,0.034522960891786775,0.05397596018721374,-2.182775336921065,,,,
kfold,openroad_total_power,select_k_5,gradient_boosting,18,66,,0.030015597250043026,0.04695918134463207,-33.63200296727089,5.0,0.02977488533607271,0.05079319642812879,40.49096227048957
random_split,openroad_total_power,select_k_5,gaussian_process,18,66,5.0,0.02221722728006901,0.03385525663662493,-0.25215315181707254,,,,
kfold,openroad_total_power,select_k_5,gaussian_process,18,66,,0.03181162474194257,0.04813934970440274,-91.1786189577604,5.0,0.02619297267940348,0.04682891196408589,99.79653443361669
random_split,openroad_total_power,select_k_10,ridge,18,66,5.0,0.03016554970716459,0.0461652112541935,-1.3282782705461704,,,,
kfold,openroad_total_power,select_k_10,ridge,18,66,,0.029073031983296305,0.044414077616275395,-30.995116409339325,5.0,0.030048589650799432,0.05204938419191021,49.02354200676338
random_split,openroad_total_power,select_k_10,random_forest,18,66,5.0,0.02896686230769231,0.030413589977384137,-0.01050997249253327,,,,
kfold,openroad_total_power,select_k_10,random_forest,18,66,,0.04183151282242064,0.05545852203344309,-236.34953136519167,5.0,0.03315998603622225,0.05983990871042327,426.6502312849295
random_split,openroad_total_power,select_k_10,gradient_boosting,18,66,5.0,0.0460368346361053,0.077059704514923,-5.4872391630485176,,,,
kfold,openroad_total_power,select_k_10,gradient_boosting,18,66,,0.03532794203523702,0.055696559197457196,-104.67036310772042,5.0,0.03036889451854267,0.05163975043310087,206.00858166999697
random_split,openroad_total_power,select_k_10,gaussian_process,18,66,5.0,0.022217227006141795,0.0338552563138171,-0.25215312793866307,,,,
kfold,openroad_total_power,select_k_10,gaussian_process,18,66,,0.034154064804343284,0.04832030500832829,-125.77434081067945,5.0,0.024273494385112206,0.04634574653848374,154.76256301051524
random_split,openroad_total_power,select_k_15,ridge,18,66,5.0,0.04308356380815936,0.05365003293437476,-2.14445378588538,,,,
kfold,openroad_total_power,select_k_15,ridge,18,66,,0.046008198900444185,0.06837327138386558,-240.16126539263433,5.0,0.03104805286289753,0.05562617596974677,406.6053254736945
random_split,openroad_total_power,select_k_15,random_forest,18,66,5.0,0.06305594486904757,0.06684592880603321,-3.8815209173659433,,,,
kfold,openroad_total_power,select_k_15,random_forest,18,66,,0.04488940517493386,0.05805243335430408,-279.15925635777495,5.0,0.028590354927139478,0.051719251766172626,541.4359329474405
random_split,openroad_total_power,select_k_15,gradient_boosting,18,66,5.0,0.06611084546727623,0.09465385582819862,-8.787727072831022,,,,
kfold,openroad_total_power,select_k_15,gradient_boosting,18,66,,0.042730687358739784,0.06243627515208485,-149.70821060307162,5.0,0.0343629279393807,0.05206810069256651,197.805430643753
random_split,openroad_total_power,select_k_15,gaussian_process,18,66,5.0,0.027142891785506662,0.033382678365597086,-0.2174400560430958,,,,
kfold,openroad_total_power,select_k_15,gaussian_process,18,66,,0.03688613629589267,0.04938416869237321,-149.21865820394186,5.0,0.02376471781137513,0.04556740424036246,183.65419509593139
random_split,openroad_total_power,pca_3,ridge,18,66,5.0,0.09658914253728242,0.10655858407212628,-11.404581378300815,,,,
