evaluation,normalized_target,original_target,model,scaler,reduction,rows,features,test_rows,mae_original,rmse_original,r2_original,relative_mae_original,include_benchmark_onehot,folds,mae_original_std,rmse_original_std,r2_original_std,relative_mae_original_std,groups
random_split,power_per_area,openroad_total_power,elasticnet_a0.001_l10.5,robust,select_k_5,18,64,5.0,0.041787037620590314,0.046966109291163884,-1.4097633738917161,1.2871015099054488,False,,,,,,
kfold,power_per_area,openroad_total_power,elasticnet_a0.001_l10.5,robust,select_k_5,18,64,,0.04184444508122971,0.055382863432082784,-150.25060877355617,2.532684306381109,False,5.0,0.034424585595986615,0.05850850704746483,266.29733425402065,1.623535205514707,
groupkfold_by_benchmark,power_per_area,openroad_total_power,elasticnet_a0.001_l10.5,robust,select_k_5,18,64,,0.03197319768869824,0.03398895423542199,-2.229537426411031,3.384876379428579,False,,0.03664878758164061,0.044681035355099125,,1.8718003935466248,17.0
random_split,power_per_area,openroad_total_power,elasticnet_a0.001_l10.8,robust,select_k_5,18,64,5.0,0.038918606087201976,0.04213684835422967,-0.9396766105166383,1.1987496484692284,False,,,,,,
kfold,power_per_area,openroad_total_power,elasticnet_a0.001_l10.8,robust,select_k_5,18,64,,0.04132493276097243,0.05464617259870883,-150.13850683172146,2.515492320110542,False,5.0,0.03491690157958155,0.059675838362030845,266.3755928990641,1.6421088988536765,
groupkfold_by_benchmark,power_per_area,openroad_total_power,elasticnet_a0.001_l10.8,robust,select_k_5,18,64,,0.03197319768869824,0.03398895423542199,-2.229537426411031,3.384876379428579,False,,0.03664878758164061,0.044681035355099125,,1.8718003935466248,17.0
random_split,power_per_area,openroad_total_power,elasticnet_a0.01_l10.2,robust,select_k_5,18,64,5.0,0.02744487900884367,0.029615843474975402,0.04180600976511384,0.8453421736229798,False,,,,,,
kfold,power_per_area,openroad_total_power,elasticnet_a0.01_l10.2,robust,select_k_5,18,64,,0.03823585242207397,0.05195345054251059,-149.9211725763484,2.4367595473592116,False,5.0,0.03561778127406474,0.06059210764044188,266.52800926429876,1.7367926161132075,
groupkfold_by_benchmark,power_per_area,openroad_total_power,elasticnet_a0.01_l10.2,robust,select_k_5,18,64,,0.03197319768869824,0.03398895423542199,-2.229537426411031,3.384876379428579,False,,0.03664878758164061,0.044681035355099125,,1.8718003935466248,17.0
random_split,power_per_area,openroad_total_power,elasticnet_a0.01_l10.5,robust,select_k_5,18,64,5.0,0.03295981531091848,0.033832188550249616,-0.2504473643403826,1.0152102294991214,False,,,,,,
kfold,power_per_area,openroad_total_power,elasticnet_a0.01_l10.5,robust,select_k_5,18,64,,0.0401634272358931,0.05314861174462745,-150.00785681399032,2.485888509097943,False,5.0,0.035022618577144386,0.06011275416624386,266.4671218649416,1.6761692398673473,
groupkfold_by_benchmark,power_per_area,openroad_total_power,elasticnet_a0.01_l10.5,robust,select_k_5,18,64,,0.03197319768869824,0.03398895423542199,-2.229537426411031,3.384876379428579,False,,0.03664878758164061,0.044681035355099125,,1.8718003935466248,17.0
random_split,power_per_area,openroad_total_power,elasticnet_a0.01_l10.8,robust,select_k_5,18,64,5.0,0.03295981531091848,0.033832188550249616,-0.2504473643403826,1.0152102294991214,False,,,,,,
kfold,power_per_area,openroad_total_power,elasticnet_a0.01_l10.8,robust,select_k_5,18,64,,0.0401634272358931,0.05314861174462745,-150.00785681399032,2.485888509097943,False,5.0,0.035022618577144386,0.06011275416624386,266.4671218649416,1.6761692398673473,
groupkfold_by_benchmark,power_per_area,openroad_total_power,elasticnet_a0.01_l10.8,robust,select_k_5,18,64,,0.03197319768869824,0.03398895423542199,-2.229537426411031,3.384876379428579,False,,0.03664878758164061,0.044681035355099125,,1.8718003935466248,17.0
random_split,power_per_area,openroad_total_power,elasticnet_a0.1_l10.2,robust,select_k_5,18,64,5.0,0.03295981531091848,0.033832188550249616,-0.2504473643403826,1.0152102294991214,False,,,,,,
kfold,power_per_area,openroad_total_power,elasticnet_a0.1_l10.2,robust,select_k_5,18,64,,0.0401634272358931,0.05314861174462745,-150.00785681399032,2.485888509097943,False,5.0,0.035022618577144386,0.06011275416624386,266.4671218649416,1.6761692398673473,
