evaluation,target,feature_set,include_benchmark_onehot,model,scaler,reduction,rows,features,test_rows,mae,rmse,r2,relative_mae,folds,mae_std,rmse_std,r2_std,relative_mae_std,groups,error
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,False,gpr_rbf,robust,select_k_10,18.0,33.0,,11488.608283962449,11488.608283962449,0.0,0.40257340540001313,,11272.91561423425,11272.91561423425,,0.6898267741090786,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,True,ridge_a0.1,standard,none,18.0,50.0,5.0,10353.945428689916,15785.683554947816,-0.03469804020184997,0.1993704433714311,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,True,ridge_a0.1,standard,none,18.0,50.0,,19524.668879615754,26591.504053328983,-6.9006885022148925,0.5956407847373739,5.0,19326.0049730729,24466.529494711136,8.74003809479277,0.7855134075754397,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,True,ridge_a0.1,standard,none,18.0,50.0,,11076.050266152153,11076.050266152153,0.0,0.36137986153920076,,16275.887146665005,16275.887146665005,,0.6907417474149129,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,True,ridge_a1,standard,none,18.0,50.0,5.0,10452.76329489361,15833.754362385287,-0.041009392220134444,0.2012732312442992,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,True,ridge_a1,standard,none,18.0,50.0,,19476.55594786267,26449.542122473467,-6.807492828421414,0.5936217048926891,5.0,19155.90433591903,24260.50709928475,8.612695706115701,0.7799805761799312,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,True,ridge_a1,standard,none,18.0,50.0,,11071.135259803461,11071.135259803461,0.0,0.3609411613566263,,16062.140609436794,16062.140609436794,,0.6826675378491296,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,True,ridge_a10,standard,none,18.0,50.0,5.0,11132.91613149054,16264.685505698486,-0.09844465960402116,0.21436991728795202,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,True,ridge_a10,standard,none,18.0,50.0,,18788.981046130182,25031.31829570291,-5.928221205862189,0.5679984372512911,5.0,17540.451087498444,22235.308616557006,7.387011480850039,0.7238943550288148,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,True,ridge_a10,standard,none,18.0,50.0,,11011.225889854542,11011.225889854542,0.0,0.35743068060481126,,14225.45507581479,14225.45507581479,,0.6156939989673363,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.001_l10.2,standard,none,18.0,50.0,5.0,10344.236519263803,15781.820999369098,-0.034191747304538556,0.19918349342174585,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.001_l10.2,standard,none,18.0,50.0,,19528.867475638013,26605.370011723175,-6.909583141249852,0.5958205448196907,5.0,19342.526082128625,24486.27511430171,8.752174973902015,0.786034971913895,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.001_l10.2,standard,none,18.0,50.0,,11076.915014186892,11076.915014186892,0.0,0.36143825827660647,,16298.087672878815,16298.087672878815,,0.691587483491379,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.001_l10.5,standard,none,18.0,50.0,5.0,9475.139449217615,14407.869857104008,0.13804142339647096,0.1824485908301408,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.001_l10.5,standard,none,18.0,50.0,,18137.61443945396,24027.650236481953,-5.886899890855626,0.5649888038140509,5.0,19536.039772565233,24357.269253218343,8.91796490252847,0.7989874444400545,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.001_l10.5,standard,none,18.0,50.0,,9509.067078633949,9509.067078633949,0.0,0.298161333867103,,10506.612025407867,10506.612025407867,,0.45984114466565074,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.001_l10.8,standard,none,18.0,50.0,5.0,10041.00244656112,15101.578794871932,0.053040190155800415,0.19334456835338107,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.001_l10.8,standard,none,18.0,50.0,,26323.83029083341,36386.2177172538,-14.790717429243145,0.8195837174999367,5.0,28784.842631408304,37249.73874085381,19.056750105536864,1.1426226066663725,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.001_l10.8,standard,none,18.0,50.0,,13339.110044851284,13339.110044851284,0.0,0.43598558091269657,,26540.062260964816,26540.062260964816,,1.0951892556371,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.01_l10.2,standard,none,18.0,50.0,5.0,10355.088267469171,15786.866462876935,-0.03485311722090678,0.19939244930875144,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.01_l10.2,standard,none,18.0,50.0,,19524.42227882095,26589.755047332746,-6.899393478365115,0.5956204169751189,5.0,19323.085996876114,24463.198789283553,8.737964590323468,0.7854194454336586,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.01_l10.2,standard,none,18.0,50.0,,11076.190618871866,11076.190618871866,0.0,0.361371452996036,,16268.081265283265,16268.081265283265,,0.6904442794650986,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.01_l10.5,standard,none,18.0,50.0,5.0,10352.561386881867,15787.581355735596,-0.03494684397228842,0.19934379294809096,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.01_l10.5,standard,none,18.0,50.0,,19527.542906563423,26597.882476739644,-6.904316111940949,0.595738677341461,5.0,19332.080636783005,24473.725686946473,8.744600238991413,0.7857128688826389,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.01_l10.5,standard,none,18.0,50.0,,11077.30518955408,11077.30518955408,0.0,0.361421132105185,,16283.04045943142,16283.04045943142,,0.6910054027498888,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.01_l10.8,standard,none,18.0,50.0,5.0,10351.058812455869,15790.61692232812,-0.035344872273789685,0.1993148601193859,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.01_l10.8,standard,none,18.0,50.0,,19538.24060950621,26616.84437484931,-6.915791558690431,0.5961190561285268,5.0,19354.21440945199,24500.851578713413,8.76234939532394,0.7865011082153455,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.01_l10.8,standard,none,18.0,50.0,,11081.242902037004,11081.242902037004,0.0,0.36155979030756596,,16305.092134007831,16305.092134007831,,0.691848821094749,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,True,elasticnet_a0.1_l10.2,standard,none,18.0,50.0,5.0,10457.447789853137,15836.667231784206,-0.041392447717293335,0.20136343355833342,,,,,,,
